Date,Account Name,Number,Description,Notes,Memo,Category,Type,Action,Reconcile,To With Sym,From With Sym,To Num.,From Num.,To Rate/Price,From Rate/Price
03/14/1997,Groceries,260,FTB,,,New Bank,T,,N,$89.87,,89.87,,,
,,,,,,Groceries,S,,N,$89.87,,89.87,,1.00,
,,,,,,New Bank,S,,N,,-$89.87,,-89.87,,1.00
01/04/1997,Booze,224,Mellon Bank,,,New Bank,T,,N,$40.00,,40.00,,,
,,,,,,Booze,S,,N,$40.00,,40.00,,1.00,
,,,,,,New Bank,S,,N,,-$40.00,,-40.00,,1.00
02/11/1997,Restaurants,239,CAF,,,New Bank,T,,N,$300.00,,300.00,,,
,,,,,,Restaurants,S,,N,$300.00,,300.00,,1.00,
,,,,,,New Bank,S,,N,,-$300.00,,-300.00,,1.00
02/12/1997,Bank Charges,,Cash,,,New Bank,T,,N,$1.50,,1.50,,,
,,,,,,Bank Charges,S,,N,$1.50,,1.50,,1.00,
,,,,,,New Bank,S,,N,,-$1.50,,-1.50,,1.00
03/04/1997,Bank Charges,,Coast Federal Bank,,,New Bank,T,,N,$2.00,,2.00,,,
,,,,,,Bank Charges,S,,N,$2.00,,2.00,,1.00,
,,,,,,New Bank,S,,N,,-$2.00,,-2.00,,1.00
01/07/1997,Electricity,,Power Co.,,,New Bank,T,,N,$11.58,,11.58,,,
,,,,,,Electricity,S,,N,$11.58,,11.58,,1.00,
,,,,,,New Bank,S,,N,,-$11.58,,-11.58,,1.00
02/07/1997,Electricity,,Power Co.,,,New Bank,T,,N,$21.43,,21.43,,,
,,,,,,Electricity,S,,N,$21.43,,21.43,,1.00,
,,,,,,New Bank,S,,N,,-$21.43,,-21.43,,1.00
03/14/1997,Electricity,,Power Co.,,,New Bank,T,,N,$20.62,,20.62,,,
,,,,,,Electricity,S,,N,$20.62,,20.62,,1.00,
,,,,,,New Bank,S,,N,,-$20.62,,-20.62,,1.00
01/31/1997,Rent,234,Landlord,,,New Bank,T,,N,$525.00,,525.00,,,
,,,,,,Rent,S,,N,$525.00,,525.00,,1.00,
,,,,,,New Bank,S,,N,,-$525.00,,-525.00,,1.00
03/02/1997,Rent,250,Landlord,,,New Bank,T,,N,$525.00,,525.00,,,
,,,,,,Rent,S,,N,$525.00,,525.00,,1.00,
,,,,,,New Bank,S,,N,,-$525.00,,-525.00,,1.00
